INFO 2025-04-18 13:12:07,469 autoreload 35724 8238903872 Watching for file changes with StatReloader
INFO 2025-04-18 13:24:02,838 autoreload 38118 8238903872 Watching for file changes with StatReloader
WARNING 2025-04-18 13:24:23,119 log 38118 6200422400 Not Found: /
WARNING 2025-04-18 13:24:23,120 basehttp 38118 6200422400 "GET / HTTP/1.1" 404 2469
WARNING 2025-04-18 13:24:27,056 log 38118 6200422400 Not Found: /
WARNING 2025-04-18 13:24:27,058 basehttp 38118 6200422400 "GET / HTTP/1.1" 404 2469
INFO 2025-04-18 13:24:27,436 basehttp 38118 6200422400 "GET /admin/ HTTP/1.1" 302 0
INFO 2025-04-18 13:24:27,476 basehttp 38118 6200422400 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4184
INFO 2025-04-18 13:24:27,488 basehttp 38118 6200422400 "GET /static/admin/css/dark_mode.css HTTP/1.1" 304 0
INFO 2025-04-18 13:24:27,491 basehttp 38118 6200422400 "GET /static/admin/css/responsive.css HTTP/1.1" 304 0
INFO 2025-04-18 13:24:27,492 basehttp 38118 6234075136 "GET /static/admin/css/base.css HTTP/1.1" 304 0
INFO 2025-04-18 13:24:27,492 basehttp 38118 6217248768 "GET /static/admin/js/theme.js HTTP/1.1" 304 0
INFO 2025-04-18 13:24:27,492 basehttp 38118 6250901504 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 304 0
INFO 2025-04-18 13:24:27,492 basehttp 38118 6267727872 "GET /static/admin/css/login.css HTTP/1.1" 304 0
INFO 2025-04-18 13:24:27,493 basehttp 38118 6284554240 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 304 0
INFO 2025-04-18 13:24:47,597 basehttp 38118 6200422400 "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
INFO 2025-04-18 13:24:47,749 basehttp 38118 6234075136 "GET /admin/ HTTP/1.1" 200 7730
INFO 2025-04-18 13:24:47,796 basehttp 38118 6217248768 "GET /static/admin/css/dashboard.css HTTP/1.1" 304 0
INFO 2025-04-18 13:24:47,830 basehttp 38118 6267727872 "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 304 0
INFO 2025-04-18 13:24:47,830 basehttp 38118 6250901504 "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 304 0
INFO 2025-04-18 14:41:01,552 autoreload 38118 8238903872 /Users/macbook/adminpanelfortuing/turing_admin_panel/settings.py changed, reloading.
INFO 2025-04-18 14:41:03,125 autoreload 43230 8238903872 Watching for file changes with StatReloader
INFO 2025-04-18 14:41:26,578 autoreload 43274 8238903872 Watching for file changes with StatReloader
